Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PWA-1,10044,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:43,4/1/2026 10:43,,,PWA RELEASE 1,4/20/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a4b5ef,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0002f:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 10:43
AS A USER I SHOULD BE ABLE TO REGISTER TO THE APPLICATION,PWA-2,10046,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:47,4/1/2026 10:47,,,PWA RELEASE 1,4/5/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d890018,,,,,,,,,,,,,,,,0|i0002n:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 10:47
AS A USER I SHOULD BE ABLE TO LOGIN TO THE APPLICATION,PWA-3,10047,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:48,4/1/2026 10:49,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@396eb33b,,,,,,,,,,,,,,,,0|i0002v:,,,PWA Sprint 1,,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 10:48
AS A USER I SHOULD BE ABLE TO LOGIN THROUGH SOCIAL PLATFORM,PWA-4,10048,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:52,4/1/2026 10:52,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22df38b7,,,,,,,,,,,,,,,,0|i00033:,,,PWA Sprint 1,,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 10:52
DASHBOARD AND PROFILE MANAGMENT,PWA-5,10049,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 11:34,4/1/2026 11:39,4/1/2026 11:39,,PWA RELEASE 1,4/28/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b4c55c1,,,,,ghx-label-11,,To Do,,,,teal,,,,,0|i0003b:,,,PWA Sprint 1,4/16/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 11:34
COURSE LISTING AND DETAILS,PWA-6,10050,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 11:54,4/1/2026 11:54,,,PWA RELEASE 1,5/5/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bc3f788,,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i0003j:,,,PWA Sprint 1,4/30/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 11:54
MY COURSE DETAILS,PWA-7,10051,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 11:59,4/1/2026 12:00,4/1/2026 12:00,,PWA RELEASE 1,5/4/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@328525e2,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0003r:,,,PWA Sprint 1,4/30/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 11:59
AS A USER I SHOULD BE ABLE TO NAVIGATE TO THE HOME PAGE AFTER SUCCESSFULL LOGIN,PWA-8,10052,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:03,4/1/2026 12:06,4/1/2026 12:03,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39ca1601,,,,,,,,,,,,,,,,0|i0003z:,,,PWA Sprint 1,,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/1/2026 12:03
AS A USER I SHOULD BE ABLE TO SEARCH COURSES,PWA-9,10053,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:04,4/1/2026 12:06,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48eb1e97,,,,,,,,,,,,,,,,0|i00047:,,,PWA Sprint 1,,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/1/2026 12:04
AS A USER I SHOULD ABLE TO UPDATE/EDIT MY PROFILE,PWA-10,10054,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:05,4/1/2026 12:06,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4295b9ae,,,,,,,,,,,,,,,,0|i0004f:,,,PWA Sprint 1,,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/1/2026 12:05
AS A USER I SHOULD ABLE TO BROWSE VARIOUS COURSES,PWA-11,10055,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:08,4/1/2026 12:13,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15065961,,,,,,,,,,,,,,,,0|i0004n:,,,PWA Sprint 1,,,,,,,,,,,,10050,PWA-6,COURSE LISTING AND DETAILS,To Do,4/1/2026 12:08
AS A USER I SHOULD BE ABLE TO SEE PARTICULAR COURSE DETAILS,PWA-12,10056,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:09,4/1/2026 12:13,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@119f2d45,,,,,,,,,,,,,,,,0|i0004v:,,,PWA Sprint 1,,,,,,,,,,,,10050,PWA-6,COURSE LISTING AND DETAILS,To Do,4/1/2026 12:09
AS A USER I SHOULD BE ABLE TO ENROLL IN A COURSE,PWA-13,10057,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:12,4/1/2026 12:13,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28a09fea,,,,,,,,,,,,,,,,0|i00053:,,,PWA Sprint 1,,,,,,,,,,,,10050,PWA-6,COURSE LISTING AND DETAILS,To Do,4/1/2026 12:12
AS A USER I SHOULD BE ABLE TO SEE ALL COURSES I OWNED,PWA-14,10058,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:14,4/1/2026 12:22,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b28ad70,,,,,,,,,,,,,,,,0|i0005b:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:14
AS A USER I SHOULD BE ABLE TO SEE INDIVIDUAL COURSE PROGRESS,PWA-15,10059,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:14,4/1/2026 12:22,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8f79954,,,,,,,,,,,,,,,,0|i0005j:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:14
